name,points,peak_to_peak_pm,std_pm
Fourier (with zero-crossing) + Raw,182,169.24742253786462,17.469455081312574
Fourier (with zero-crossing) + Batch Mean (n=3),60,55.249891845051025,10.299278209648273
Fourier (with zero-crossing) + Batch → Savgol(7),60,34.242745306983124,7.102071605511845
Fourier (with zero-crossing) + Batch → Savgol(5),60,42.32263215271814,8.084929510310902
Fourier (with zero-crossing) + Kalman (tight),182,35.9781534192507,6.112359932303382
Fourier (with zero-crossing) + Exponential α=0.2,182,47.09224421617364,7.050569362908392
Fourier (with zero-crossing) + Post-Savgol(11),182,55.08933678345329,9.040007752660662
Direct ArgMin (no Fourier) + Raw,182,131.61502604873476,22.36604453193391
Direct ArgMin (no Fourier) + Batch Mean (n=3),60,43.871675349578254,14.170006986562552
Direct ArgMin (no Fourier) + Batch → Savgol(7),60,39.6934205547268,10.152502132749834
Direct ArgMin (no Fourier) + Batch → Savgol(5),60,43.871675349578254,11.470254364750911
Direct ArgMin (no Fourier) + Kalman (tight),182,34.861693960124285,8.288475588922227
Direct ArgMin (no Fourier) + Exponential α=0.2,182,45.611755895492934,10.229345150909026
Direct ArgMin (no Fourier) + Post-Savgol(11),182,51.950608572497,12.087207122194169
