window_size,processing,p2p_pm,std_pm
50,Raw,166.2452395486298,17.188338458112387
50,B5+SG3+Exp0.1,12.556033930195554,3.7334977605386044
100,Raw,167.57908197905635,17.21661096050203
100,B5+SG3+Exp0.1,11.592395383786425,3.493929911051007
165,Raw,169.24742253786462,17.469455081312574
165,B5+SG3+Exp0.1,10.422671000128503,3.2002045520147977
200,Raw,170.01258657694507,17.66386718657592
200,B5+SG3+Exp0.1,9.988202685804026,3.068168047725988
250,Raw,170.94932162740406,17.966029465826445
250,B5+SG3+Exp0.1,9.456316901378159,2.9092763345291823
330,Raw,172.12558291998903,18.440313727181486
330,B5+SG3+Exp0.1,8.807273992715636,2.7148135687448165
400,Raw,172.89341471598618,18.80339378219864
400,B5+SG3+Exp0.1,8.42714704640457,2.591470011600511
500,Raw,173.67068970293076,19.2111279194545
500,B5+SG3+Exp0.1,8.042345555736574,2.47001660388155
600,Raw,174.17708901791684,19.497331800030903
600,B5+SG3+Exp0.1,7.791644973394796,2.3929806561335822
800,Raw,174.71570966927175,19.81863760327463
800,B5+SG3+Exp0.1,7.524986789348986,2.3130700776490376
1000,Raw,174.9535940801934,19.96594759508667
1000,B5+SG3+Exp0.1,7.407139152746822,2.278476328324279
1500,Raw,175.11027601892692,20.099655453805514
1500,B5+SG3+Exp0.1,7.293539814668293,2.245518327558729
